"Estimate_Conventional","SE_Conventional","PValue_Conventional","Estimate_BiasCorrected","SE_BiasCorrected","PValue_BiasCorrected","Estimate_BC_RobustSE","SE_BC_RobustSE","PValue_BC_RobustSE","N_within_bw","N_left_bw","N_right_bw","N_total_left","N_total_right","Bandwidth","Optimal_Bandwidth_h","Controls","Sample","Check_Type","Placebo_Cutoff","Polynomial_Degree","Outcome","Weighted"
0.0270237941779259,0.0952779108820017,0.776692976341925,0.104297257005496,0.0952779108820017,0.27366405912613,0.104297257005496,0.145687326573596,0.474054370431875,150,76,74,4615,382,375,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.00880158615662463,0.0812342384151537,0.913719463719363,0.0630109726107146,0.0812342384151537,0.437943778312636,0.0630109726107146,0.12520401749132,0.614777000553737,200,105,95,4615,382,487,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0238041640549933,0.0703461548145298,0.735072214607762,0.0148821764870339,0.0703461548145298,0.832453157930075,0.0148821764870339,0.110970198862917,0.893315855036655,251,135,116,4615,382,598,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0313568889881319,0.0626542386712575,0.616740555242828,0.0117442688731093,0.0626542386712575,0.851311178507678,0.0117442688731093,0.10127756542969,0.90768328552697,295,165,130,4615,382,710,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0351322552901878,0.0569671750174987,0.537425690777124,0.0148581136818773,0.0569671750174987,0.79423219904158,0.0148581136818773,0.0929551928471735,0.873005794575399,332,187,145,4615,382,822,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0370867082491262,0.0525651307062526,0.480475361611176,0.0193048817756172,0.0525651307062526,0.713427757205766,0.0193048817756172,0.0862071852113235,0.822807197371574,367,210,157,4615,382,934,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0392167648918371,0.0487372557940854,0.421017748010439,0.0203466609851681,0.0487372557940854,0.676329879457671,0.0203466609851681,0.0800041789700723,0.799248367358888,411,243,168,4615,382,1046,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0368951994337106,0.0451420624587713,0.413749516964491,0.0305375144298177,0.0451420624587713,0.498738582983368,0.0305375144298177,0.0742861431145514,0.681014203191373,451,267,184,4615,382,1158,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0364256307148574,0.0421697241918299,0.387705286255747,0.0325792205084849,0.0421697241918299,0.439774704999185,0.0325792205084849,0.0700090220705419,0.641675494511423,494,298,196,4615,382,1269,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.036620642533465,0.0400212106185352,0.360175432723941,0.0328429466440054,0.0400212106185352,0.411852205430594,0.0328429466440054,0.0669000127191105,0.62347888220906,527,321,206,4615,382,1381,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0381173532377512,0.0380681706038519,0.316685677738011,0.0313431852174122,0.0380681706038519,0.410312617446474,0.0313431852174122,0.0633837393106672,0.62095392924319,572,347,225,4615,382,1493,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0418110271987404,0.0362902635635744,0.249268496633714,0.0272278768793806,0.0362902635635744,0.453085787946877,0.0272278768793806,0.0600400738941062,0.65019230013306,618,383,235,4615,382,1605,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0437907598447695,0.0348234981778143,0.208570447551063,0.0275055391823702,0.0348234981778143,0.429612034474245,0.0275055391823702,0.0573039747851469,0.631231968289276,656,409,247,4615,382,1717,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
0.0431910084662264,0.0335726327565727,0.198270525921873,0.0318662936641243,0.0335726327565727,0.342531766289735,0.0318662936641243,0.0548921551220918,0.561560321903243,696,437,259,4615,382,1828,1249.60070850043,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
