Sample,Sample_Description,Variable,Variable_Label,Weighted,Mean (Control),SD (Control),N (Control),Min (Control),N at Min (Control),Max (Control),N at Max (Control),Count_0 (Control),Count_1 (Control),Mean (Treatment),SD (Treatment),N (Treatment),Min (Treatment),N at Min (Treatment),Max (Treatment),N at Max (Treatment),Count_0 (Treatment),Count_1 (Treatment),P-Value (t-test),Control_Group_Label,Treatment_Group_Label
Full Sample,"All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable",age_2012_election,Age in years at the November 2012 presidential election,No,45.8803,16.5489,4697,NA,NA,NA,NA,NA,NA,14.4244,2.366,383,NA,NA,NA,NA,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Full Sample,"All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable",sex,"Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)",No,0.4577,0.4983,4682,0,2539,1,2143,2539,2143,0.4282,0.4955,383,0,219,1,164,219,164,0.2632,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Full Sample,"All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable",education,"Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)",No,4.5707,2.0473,4629,1,211,8,251,NA,NA,3.52,1.7271,375,1,24,NA,NA,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Full Sample,"All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable",income,"Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)",No,11.7813,6.7302,4564,1,432,22,267,NA,NA,9.5379,7.1581,383,1,68,22,25,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Full Sample,"All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable",liberal_index,"Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted",No,0.7796,0.1746,4616,NA,NA,1,450,NA,NA,0.7448,0.1952,381,NA,NA,1,18,NA,NA,8.00E-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Independents,"Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans",age_2012_election,Age in years at the November 2012 presidential election,No,43.6816,16.071,1037,NA,NA,NA,NA,NA,NA,14.4132,2.4369,91,NA,NA,NA,NA,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Independents,"Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans",sex,"Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)",No,0.5024,0.5002,1031,0,513,1,518,513,518,0.4505,0.5003,91,0,50,1,41,50,41,0.3452,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Independents,"Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans",education,"Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)",No,4.3496,2.0384,1024,1,59,8,47,NA,NA,3.0562,1.5693,89,NA,NA,NA,NA,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Independents,"Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans",income,"Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)",No,10.8385,6.7535,997,1,113,22,57,NA,NA,7.8791,6.6747,91,1,19,NA,NA,NA,NA,1.00E-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Independents,"Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans",liberal_index,"Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted",No,0.7427,0.1789,1016,NA,NA,1,39,NA,NA,0.6639,0.208,91,NA,NA,NA,NA,NA,NA,7.00E-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
