"","Sample","Model","Outcome","Estimate_Bias-Corrected","Estimate_Monte Carlo","SE_Bias-Corrected","SE_Monte Carlo","Lambda"
"1","Full Sample","Without Controls","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms",0.0338,0.0295074935604225,0.0503,0.0508626158971583,0.42055436067111
"2","Full Sample","With Controls","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms",0.0501,0.0337327888497914,0.0383,0.0473993927231852,0.617510820351061
"3","Independents","Without Controls","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms",-0.0404,0.000965167263103995,0.0595,0.0586095985041059,-0.678139468610991
"4","Independents","With Controls","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms",-0.0015,0.0064822438760208,0.0509,0.0562443525981033,-0.0239133012839104
"5","Partisans","Without Controls","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms",0.1059,0.096463183071298,0.0842,0.0858047584255026,0.581012761379427
"6","Partisans","With Controls","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms",0.1423,0.108683647358281,0.0646,0.0629324699456043,0.82917619997209
"7","Democrats","Without Controls","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms",0.0764,0.14677197100819,0.1203,0.0983703687324474,0.311655669440178
"8","Democrats","With Controls","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms",0.0668,0.0996374229787862,0.0905,0.0741542264070618,0.384368295232024
"9","Republicans","Without Controls","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms",0.155,0.0677092160422448,0.0694,0.082728220049442,1.03032864708976
"10","Republicans","With Controls","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms",0.1821,0.0944658631819479,0.0544,0.0685158249926169,1.1173034347574
"11","Expect In-Party Win","Without Controls","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms",0.1176,0.0507563831226119,0.0612,0.0737994939588614,0.944154565449181
"12","Expect In-Party Win","With Controls","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms",0.1218,0.0583563430490505,0.0608,0.0592725204776278,1.03546014428997
"13","Expect In-Party Loss","Without Controls","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms",0.1335,0.342465749223711,0.1718,0.162535713345411,0.264355670022891
"14","Expect In-Party Loss","With Controls","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms",0.1912,0.341208682442307,0.101,0.0973984313284547,0.435925442148507
