"Sample","Model","Bin","N_draws","Bin_Midpoint","Density","Outcome","Weighted","Note"
"Full Sample","With Controls","[-0.208,-0.194]",3,-0.20341,241.56603,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(-0.194,-0.181]",3,-0.188336,249.196365,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(-0.181,-0.167]",10,-0.172539,900.084953,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(-0.167,-0.154]",11,-0.159362,1069.974359,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(-0.154,-0.14]",16,-0.147783,1273.021356,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(-0.14,-0.126]",20,-0.133752,1536.937006,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(-0.126,-0.113]",21,-0.1192,1713.837294,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(-0.113,-0.0994]",53,-0.106531,4006.555898,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(-0.0994,-0.0859]",70,-0.091999,5216.614882,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(-0.0859,-0.0723]",108,-0.078463,8020.744918,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(-0.0723,-0.0588]",165,-0.06523,12255.983941,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(-0.0588,-0.0452]",195,-0.052051,14575.856142,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(-0.0452,-0.0317]",237,-0.038082,17771.44716,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(-0.0317,-0.0182]",350,-0.024671,25931.300852,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(-0.0182,-0.00461]",487,-0.011079,36146.156521,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(-0.00461,0.00893]",659,0.002426,48905.761119,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(0.00893,0.0225]",954,0.01608,70455.563494,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(0.0225,0.036]",1200,0.029751,88842.192882,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(0.036,0.0496]",1403,0.042623,103668.221508,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(0.0496,0.0631]",1439,0.055967,106501.25936,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(0.0631,0.0766]",1093,0.069443,80908.166028,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(0.0766,0.0902]",728,0.082868,54104.681733,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(0.0902,0.104]",374,0.096217,27816.276461,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(0.104,0.117]",206,0.109415,15292.506806,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(0.117,0.131]",102,0.1228,7608.989251,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(0.131,0.144]",50,0.1371,3827.124836,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(0.144,0.158]",23,0.150744,1913.049441,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(0.158,0.171]",10,0.165038,1065.577951,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(0.171,0.185]",7,0.176974,736.692993,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","With Controls","(0.185,0.199]",3,0.194656,261.578241,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","Without Controls","[-0.281,-0.264]",1,-0.280886,Inf,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","Without Controls","(-0.247,-0.231]",1,-0.244782,Inf,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","Without Controls","(-0.231,-0.214]",1,-0.220274,Inf,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","Without Controls","(-0.214,-0.197]",5,-0.206579,346.437806,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","Without Controls","(-0.197,-0.18]",7,-0.190566,494.287762,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","Without Controls","(-0.18,-0.163]",14,-0.169146,1245.748149,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","Without Controls","(-0.163,-0.147]",16,-0.153543,1219.238653,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","Without Controls","(-0.147,-0.13]",31,-0.13732,2019.221142,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","Without Controls","(-0.13,-0.113]",53,-0.1203,3358.312545,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
"Full Sample","Without Controls","(-0.113,-0.0962]",77,-0.10526,4747.619311,"Liberal Democratic Norms Index (0-1)","No","Each row is one histogram bin. Bin_Midpoint = mean estimate within the bin. N_draws = count of simulation iterations falling in that bin."
