"Estimate_Conventional","SE_Conventional","PValue_Conventional","Estimate_BiasCorrected","SE_BiasCorrected","PValue_BiasCorrected","Estimate_BC_RobustSE","SE_BC_RobustSE","PValue_BC_RobustSE","N_within_bw","N_left_bw","N_right_bw","N_total_left","N_total_right","Bandwidth","Optimal_Bandwidth_h","Controls","Sample","Check_Type","Placebo_Cutoff","Polynomial_Degree","Outcome","Weighted"
-0.119700438900168,0.129106011730245,0.353849462595176,-0.0820714614587347,0.129106011730245,0.524978188214661,-0.0820714614587347,0.165356991835634,0.61966234712523,74,46,28,4704,395,183,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.116464804862077,0.117632253381433,0.322137247458626,-0.114174277816208,0.117632253381433,0.331745758286804,-0.114174277816208,0.15234135103447,0.453577907324295,101,57,44,4704,395,238,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.12544914323894,0.109152798580377,0.250432933178223,-0.10267465681501,0.109152798580377,0.346883889025938,-0.10267465681501,0.143512965737285,0.474338319808561,116,64,52,4704,395,293,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.121254068796426,0.099986222594107,0.225241568992932,-0.122725097225373,0.099986222594107,0.219664743484079,-0.122725097225373,0.134269226032532,0.360705009081719,147,77,70,4704,395,348,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.108965612124901,0.0927704930962406,0.240166040438029,-0.133946705190424,0.0927704930962406,0.148781086679651,-0.133946705190424,0.12954311427758,0.301139320835631,167,92,75,4704,395,402,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.100788416146441,0.0867142626331255,0.245111619214357,-0.135350047310083,0.0867142626331255,0.118553457591612,-0.135350047310083,0.124042667705214,0.275203726600557,191,106,85,4704,395,457,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.090004679670215,0.0813883287103403,0.268784022157709,-0.137827650940423,0.0813883287103403,0.0903684757681563,-0.137827650940423,0.118556947650468,0.24501462171656,212,118,94,4704,395,512,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0811497364188318,0.0765291091311765,0.288972947589644,-0.133795760451803,0.0765291091311765,0.0804122765255865,-0.133795760451803,0.11362785952079,0.238999663066547,238,136,102,4704,395,566,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0696434172303176,0.0722696036644404,0.33521578351747,-0.136255797599224,0.0722696036644404,0.0593783053847633,-0.136255797599224,0.109118133566431,0.211774873807511,261,153,108,4704,395,621,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0599188594667024,0.0679129579897961,0.377620514172964,-0.131151692321404,0.0679129579897961,0.0534616226526816,-0.131151692321404,0.104395388325098,0.209008034408541,283,163,120,4704,395,676,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0491296019811652,0.0636928280758626,0.440498209547796,-0.126385102425129,0.0636928280758626,0.0472234143216043,-0.126385102425129,0.100220947333507,0.207285524739167,306,173,133,4704,395,731,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
-0.0416415600728539,0.0606586869008069,0.492404395709516,-0.120849557954601,0.0606586869008069,0.0463394966003853,-0.120849557954601,0.0974562427981632,0.214960908321474,319,182,137,4704,395,785,611.560262709083,"Without Controls","Full Sample","Bandwidth Sensitivity",NA,NA,"Liberal Democratic Norms Index (0-1 factor score of 7 ANES items; higher = stronger liberal norm support)","No"
