"Sample","Sample_Description","Variable","Variable_Label","Weighted","Mean (Control)","SD (Control)","N (Control)","Min (Control)","N at Min (Control)","Max (Control)","N at Max (Control)","Count_0 (Control)","Count_1 (Control)","Mean (Treatment)","SD (Treatment)","N (Treatment)","Min (Treatment)","N at Min (Treatment)","Max (Treatment)","N at Max (Treatment)","Count_0 (Treatment)","Count_1 (Treatment)","P-Value (t-test)","Control_Group_Label","Treatment_Group_Label"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","age_2012_election","Age in years at the November 2012 presidential election","No",45.6923,15.9882,4785,18.0396988364134,1,72.848733744011,1,NA,NA,14.3619,2.4407,400,9.88637919233402,1,17.9630390143737,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)","No",0.4586,0.4983,4765,0,2580,1,2185,2580,2185,0.4275,0.4953,400,0,229,1,171,229,171,0.2293,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","education","Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)","No",4.5732,2.0461,4716,1,214,8,257,NA,NA,3.6122,1.7672,392,1,23,8,3,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","income","Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)","No",11.7986,6.7396,4642,1,441,22,275,NA,NA,9.5125,7.111,400,1,70,22,26,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","race_Black","Race dummy: Black / African-American (1 = Yes, 0 = No; reference category = White; derived from ANES V201549x)","No",0.0898,0.286,4753,0,4326,1,427,4326,427,0.1106,0.314,398,0,354,1,44,354,44,0.2038,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","race_Hispanic","Race dummy: Hispanic / Latino (1 = Yes, 0 = No; reference = White)","No",0.0818,0.2742,4753,0,4364,1,389,4364,389,0.1734,0.379,398,0,329,1,69,329,69,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","race_Asian","Race dummy: Asian / Asian-American (1 = Yes, 0 = No; reference = White)","No",0.0351,0.1841,4753,0,4586,1,167,4586,167,0.0477,0.2135,398,0,379,1,19,379,19,0.2538,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","race_Native","Race dummy: Native American / Alaskan Native (1 = Yes, 0 = No; reference = White)","No",0.021,0.1435,4753,0,4653,1,100,4653,100,0.0151,0.122,398,0,392,1,6,392,6,0.3564,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","race_Other","Race dummy: Other race (1 = Yes, 0 = No; reference = White)","No",0.0328,0.1782,4753,0,4597,1,156,4597,156,0.0477,0.2135,398,0,379,1,19,379,19,0.1761,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.7793,0.1745,4701,0,1,1,460,NA,NA,0.7494,0.1947,398,0.082492404146227,4,1,20,NA,NA,0.0032,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
