"Sample","Sample_Description","Variable","Variable_Label","Weighted","Mean (Control)","SD (Control)","N (Control)","Min (Control)","N at Min (Control)","Max (Control)","N at Max (Control)","Count_0 (Control)","Count_1 (Control)","Mean (Treatment)","SD (Treatment)","N (Treatment)","Min (Treatment)","N at Min (Treatment)","Max (Treatment)","N at Max (Treatment)","Count_0 (Treatment)","Count_1 (Treatment)","P-Value (t-test)","Control_Group_Label","Treatment_Group_Label"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","age_2012_election","Age in years at the November 2012 presidential election","No",45.672,16.0035,4787,18.0123203285421,1,72.848733744011,1,NA,NA,14.3007,2.426,398,9.86447638603696,2,17.990417522245,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)","No",0.4585,0.4983,4768,0,2582,1,2186,2582,2186,0.4282,0.4954,397,0,227,1,170,227,170,0.2431,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","education","Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)","No",4.5767,2.0454,4718,1,212,8,258,NA,NA,3.5641,1.7504,390,1,25,8,2,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","income","Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)","No",11.7966,6.7351,4645,1,440,22,274,NA,NA,9.5189,7.1681,397,1,71,22,27,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.7795,0.1742,4704,0,1,1,460,NA,NA,0.7459,0.1975,395,0.082492404146227,5,1,20,NA,NA,0.0011,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","age_2012_election","Age in years at the November 2012 presidential election","No",43.6103,15.8226,1065,18.0752908966461,1,72.848733744011,1,NA,NA,14.3025,2.3915,92,9.88364134154689,1,17.9438740588638,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)","No",0.5038,0.5002,1058,0,525,1,533,525,533,0.4565,0.5008,92,0,50,1,42,50,42,0.3872,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","education","Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)","No",4.3565,2.0389,1052,1,61,8,49,NA,NA,3.1,1.6009,90,1,6,8,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","income","Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)","No",10.8223,6.7677,1024,1,119,22,57,NA,NA,8.25,6.9101,92,1,18,22,4,NA,NA,9e-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.7437,0.178,1044,0.057856716504167,1,1,40,NA,NA,0.6632,0.2072,92,0.082492404146227,2,1,2,NA,NA,5e-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
