"Sample","Sample_Description","Variable","Variable_Label","Weighted","Mean (Control)","SD (Control)","N (Control)","Min (Control)","N at Min (Control)","Max (Control)","N at Max (Control)","Count_0 (Control)","Count_1 (Control)","Mean (Treatment)","SD (Treatment)","N (Treatment)","Min (Treatment)","N at Min (Treatment)","Max (Treatment)","N at Max (Treatment)","Count_0 (Treatment)","Count_1 (Treatment)","P-Value (t-test)","Control_Group_Label","Treatment_Group_Label"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","race_Black","Race dummy: Black / African-American (1 = Yes, 0 = No; reference category = White; derived from ANES V201549x)","No",0.0898,0.2859,4755,0,4328,1,427,4328,427,0.1111,0.3147,396,0,352,1,44,352,44,0.193,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","race_Hispanic","Race dummy: Hispanic / Latino (1 = Yes, 0 = No; reference = White)","No",0.0818,0.2741,4755,0,4366,1,389,4366,389,0.1742,0.3798,396,0,327,1,69,327,69,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","race_Asian","Race dummy: Asian / Asian-American (1 = Yes, 0 = No; reference = White)","No",0.0353,0.1846,4755,0,4587,1,168,4587,168,0.0455,0.2086,396,0,378,1,18,378,18,0.3499,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","race_Native","Race dummy: Native American / Alaskan Native (1 = Yes, 0 = No; reference = White)","No",0.021,0.1435,4755,0,4655,1,100,4655,100,0.0152,0.1223,396,0,390,1,6,390,6,0.3654,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All ANES 2020 panel respondents in waves 3–6 (V200003 in {3,4,5,6}), pre- and post-election interviews (V200004 in {1,3}), with non-missing outcome and running variable","race_Other","Race dummy: Other race (1 = Yes, 0 = No; reference = White)","No",0.0328,0.1782,4755,0,4599,1,156,4599,156,0.048,0.214,396,0,377,1,19,377,19,0.1708,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","race_Black","Race dummy: Black / African-American (1 = Yes, 0 = No; reference category = White; derived from ANES V201549x)","No",0.055,0.2281,1054,0,996,1,58,996,58,0.1099,0.3145,91,0,81,1,10,81,10,0.1068,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","race_Hispanic","Race dummy: Hispanic / Latino (1 = Yes, 0 = No; reference = White)","No",0.0958,0.2945,1054,0,953,1,101,953,101,0.1648,0.3731,91,0,76,1,15,76,15,0.0887,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","race_Asian","Race dummy: Asian / Asian-American (1 = Yes, 0 = No; reference = White)","No",0.0389,0.1934,1054,0,1013,1,41,1013,41,0.033,0.1795,91,0,88,1,3,88,3,0.7644,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","race_Native","Race dummy: Native American / Alaskan Native (1 = Yes, 0 = No; reference = White)","No",0.0427,0.2023,1054,0,1009,1,45,1009,45,0.044,0.2061,91,0,87,1,4,87,4,0.9554,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","race_Other","Race dummy: Other race (1 = Yes, 0 = No; reference = White)","No",0.0493,0.2167,1054,0,1002,1,52,1002,52,0.033,0.1795,91,0,88,1,3,88,3,0.4141,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","race_Black","Race dummy: Black / African-American (1 = Yes, 0 = No; reference category = White; derived from ANES V201549x)","No",0.0982,0.2976,3106,0,2801,1,305,2801,305,0.1102,0.3138,236,0,210,1,26,210,26,0.5711,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","race_Hispanic","Race dummy: Hispanic / Latino (1 = Yes, 0 = No; reference = White)","No",0.0747,0.2629,3106,0,2874,1,232,2874,232,0.178,0.3833,236,0,194,1,42,194,42,1e-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
