"Subgroup","treatment","Bin_60days","N","Mean_Liberal_Index","SD_Liberal_Index","Treatment_Label","Outcome","Bin_Width_Days"
"Expect In-Party Loss",0,"[-4.02e+03,-3.96e+03]",1,1,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-3.96e+03,-3.9e+03]",3,0.8207,0.1312,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-3.72e+03,-3.66e+03]",1,0.6174,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-3.6e+03,-3.54e+03]",1,0.9427,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-3.54e+03,-3.48e+03]",1,0.7302,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-3.42e+03,-3.36e+03]",1,0.3963,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-3.36e+03,-3.3e+03]",2,0.7806,0.1568,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-3.3e+03,-3.24e+03]",2,0.681,0.0823,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-3.24e+03,-3.18e+03]",1,0.7188,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-3.18e+03,-3.12e+03]",4,0.564,0.2116,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-3.12e+03,-3.06e+03]",4,0.5935,0.2403,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-3.06e+03,-3e+03]",1,0.951,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-2.94e+03,-2.88e+03]",1,0.6579,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-2.88e+03,-2.82e+03]",3,0.8958,0.1805,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-2.76e+03,-2.7e+03]",1,0.8684,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-2.7e+03,-2.64e+03]",1,1,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-2.64e+03,-2.58e+03]",2,0.6847,0.2613,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-2.58e+03,-2.52e+03]",1,0.9725,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-2.52e+03,-2.46e+03]",3,0.7472,0.1182,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-2.46e+03,-2.4e+03]",1,0.7912,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-2.4e+03,-2.34e+03]",2,0.5472,0.136,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-2.34e+03,-2.28e+03]",1,0.5098,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-2.28e+03,-2.22e+03]",1,0.6841,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-2.16e+03,-2.1e+03]",2,0.9285,0.1011,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
