"Subgroup","treatment","Bin_60days","N","Mean_Liberal_Index","SD_Liberal_Index","Treatment_Label","Outcome","Bin_Width_Days"
"Democrats",0,"[-4.02e+03,-3.96e+03]",1,0.92,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.96e+03,-3.9e+03]",5,0.8703,0.1602,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.9e+03,-3.84e+03]",8,0.7758,0.1755,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.84e+03,-3.78e+03]",5,0.7384,0.2971,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.78e+03,-3.72e+03]",3,0.9054,0.0971,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.72e+03,-3.66e+03]",5,0.7808,0.1515,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.66e+03,-3.6e+03]",5,0.8043,0.0575,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.6e+03,-3.54e+03]",3,0.7978,0.2103,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.54e+03,-3.48e+03]",8,0.7739,0.1889,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.48e+03,-3.42e+03]",4,0.6669,0.3653,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.42e+03,-3.36e+03]",5,0.7387,0.2987,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.36e+03,-3.3e+03]",7,0.8527,0.1137,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.3e+03,-3.24e+03]",6,0.787,0.1487,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.24e+03,-3.18e+03]",5,0.8007,0.1277,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.18e+03,-3.12e+03]",7,0.7815,0.2687,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.12e+03,-3.06e+03]",5,0.7358,0.2691,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3.06e+03,-3e+03]",4,0.9588,0.0314,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-3e+03,-2.94e+03]",4,0.6912,0.3357,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
