"Sample","Sample_Description","Variable","Variable_Label","Weighted","Mean (Control)","SD (Control)","N (Control)","Min (Control)","N at Min (Control)","Max (Control)","N at Max (Control)","Count_0 (Control)","Count_1 (Control)","Mean (Treatment)","SD (Treatment)","N (Treatment)","Min (Treatment)","N at Min (Treatment)","Max (Treatment)","N at Max (Treatment)","Count_0 (Treatment)","Count_1 (Treatment)","P-Value (t-test)","Control_Group_Label","Treatment_Group_Label"
"Full Sample","All PRL respondents with non-missing outcome and running variable; pooled across 160+ weekly survey waves (2022-2026)","age_2012_election","Age in years at the November 2012 presidential election (approximation: 2012 - year_of_birth; PRL provides birth year only)","No",43.1188,14.6842,119577,18,2574,NA,NA,NA,NA,12.9202,2.7376,23544,NA,NA,17,2676,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All PRL respondents with non-missing outcome and running variable; pooled across 160+ weekly survey waves (2022-2026)","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from PRL gender variable)","No",0.4726,0.4992,118843,0,62683,1,56160,62683,56160,0.4996,0.5,23376,0,11697,1,11679,11697,11679,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All PRL respondents with non-missing outcome and running variable; pooled across 160+ weekly survey waves (2022-2026)","education","Education level (PRL educ; ordinal 1-6; 1 = No high school, 6 = Post-graduate)","No",3.5379,1.5381,118843,1,4486,6,16288,NA,NA,3.2255,1.3719,23376,1,1110,6,1212,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All PRL respondents with non-missing outcome and running variable; pooled across 160+ weekly survey waves (2022-2026)","income","Household income (PRL faminc_new; ordinal 1-16; 1 = Less than $10,000, 16 = $500,000 or more)","No",6.5902,3.6139,108606,1,6629,16,505,NA,NA,6.2181,3.7286,19757,1,2377,16,204,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Full Sample","All PRL respondents with non-missing outcome and running variable; pooled across 160+ weekly survey waves (2022-2026)","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 5 PRL items (norm_judges, norm_polling, norm_executive, norm_censorship, norm_loyalty), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.6885,0.207,114811,0,668,1,5830,NA,NA,0.5859,0.2357,22737,0,332,1,1046,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (pid7 codes 3-5, including leaners); excludes pure Democrats and Republicans","age_2012_election","Age in years at the November 2012 presidential election (approximation: 2012 - year_of_birth; PRL provides birth year only)","No",41.9344,14.2599,42167,18,888,NA,NA,NA,NA,12.688,2.7823,8344,NA,NA,17,850,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (pid7 codes 3-5, including leaners); excludes pure Democrats and Republicans","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from PRL gender variable)","No",0.5265,0.4993,42167,0,19965,1,22202,19965,22202,0.4782,0.4996,8344,0,4354,1,3990,4354,3990,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (pid7 codes 3-5, including leaners); excludes pure Democrats and Republicans","education","Education level (PRL educ; ordinal 1-6; 1 = No high school, 6 = Post-graduate)","No",3.5091,1.5281,42167,1,1888,6,5443,NA,NA,3.0665,1.3012,8344,1,528,6,315,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (pid7 codes 3-5, including leaners); excludes pure Democrats and Republicans","income","Household income (PRL faminc_new; ordinal 1-16; 1 = Less than $10,000, 16 = $500,000 or more)","No",6.3789,3.6395,37732,1,2940,16,146,NA,NA,5.4879,3.6086,6669,1,1045,16,65,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (pid7 codes 3-5, including leaners); excludes pure Democrats and Republicans","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 5 PRL items (norm_judges, norm_polling, norm_executive, norm_censorship, norm_loyalty), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.7316,0.1911,40483,0,70,1,3429,NA,NA,0.6467,0.213,8014,0,57,1,523,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
