"Sample","Variable","Mean (Control)","SD (Control)","N (Control)","Mean (Treatment)","SD (Treatment)","N (Treatment)","P-Value"
"Full Sample","age_2012_election",45.676,15.995,4786,14.342,2.415,399,0
"Full Sample","sex",0.459,0.498,4767,0.427,0.495,398,0.225
"Full Sample","education",4.577,2.047,4717,3.563,1.732,391,0
"Full Sample","income",11.797,6.735,4644,9.523,7.172,398,0
"Full Sample","race_Black",0.09,0.286,4754,0.113,0.317,397,0.15
"Full Sample","race_Hispanic",0.082,0.274,4754,0.176,0.382,397,0
"Full Sample","race_Asian",0.035,0.185,4754,0.045,0.208,397,0.355
"Full Sample","race_Native",0.021,0.144,4754,0.015,0.122,397,0.361
"Full Sample","race_Other",0.032,0.177,4754,0.053,0.224,397,0.076
"Full Sample","liberal_index",0.779,0.174,4703,0.747,0.196,396,0.002
"Independents","age_2012_election",43.638,15.794,1064,14.416,2.464,93,0
"Independents","sex",0.504,0.5,1057,0.452,0.5,93,0.333
"Independents","education",4.357,2.041,1051,3.11,1.581,91,0
"Independents","income",10.829,6.766,1023,8.204,6.909,93,0.001
"Independents","race_Black",0.055,0.228,1053,0.109,0.313,92,0.111
"Independents","race_Hispanic",0.095,0.293,1053,0.174,0.381,92,0.056
"Independents","race_Asian",0.039,0.194,1053,0.033,0.179,92,0.747
"Independents","race_Native",0.043,0.202,1053,0.043,0.205,92,0.973
"Independents","race_Other",0.049,0.217,1053,0.033,0.179,92,0.398
"Independents","liberal_index",0.744,0.178,1043,0.665,0.21,93,0.001
"Partisans","age_2012_election",47.069,15.841,3123,14.281,2.386,238,0
"Partisans","sex",0.438,0.496,3112,0.424,0.495,238,0.683
"Partisans","education",4.602,2.041,3075,3.65,1.762,234,0
"Partisans","income",12.099,6.685,3037,10.004,7.381,238,0
"Partisans","race_Black",0.098,0.297,3104,0.113,0.318,238,0.467
"Partisans","race_Hispanic",0.074,0.262,3104,0.181,0.386,238,0
"Partisans","race_Asian",0.034,0.181,3104,0.059,0.236,238,0.111
"Partisans","race_Native",0.015,0.121,3104,0.004,0.065,238,0.025
"Partisans","race_Other",0.024,0.155,3104,0.059,0.236,238,0.028
"Partisans","liberal_index",0.778,0.174,3079,0.754,0.189,236,0.061
"Democrats","age_2012_election",46.213,15.948,1641,14.078,2.349,155,0
"Democrats","sex",0.386,0.487,1636,0.368,0.484,155,0.659
"Democrats","education",4.859,2.081,1619,3.671,1.756,152,0
"Democrats","income",12.018,6.829,1604,9.671,7.367,155,0
"Democrats","race_Black",0.174,0.379,1628,0.161,0.369,155,0.687
"Democrats","race_Hispanic",0.09,0.287,1628,0.252,0.435,155,0
"Democrats","race_Asian",0.047,0.211,1628,0.077,0.268,155,0.167
"Democrats","race_Native",0.016,0.125,1628,0,0,155,0
"Democrats","race_Other",0.029,0.169,1628,0.065,0.246,155,0.085
"Democrats","liberal_index",0.844,0.167,1625,0.783,0.205,153,0.001
"Republicans","age_2012_election",48.017,15.673,1482,14.66,2.422,83,0
"Republicans","sex",0.496,0.5,1476,0.53,0.502,83,0.548
"Republicans","education",4.317,1.958,1456,3.61,1.783,82,0.001
"Republicans","income",12.191,6.523,1433,10.627,7.412,83,0.063
"Republicans","race_Black",0.014,0.118,1476,0.024,0.154,83,0.568
"Republicans","race_Hispanic",0.057,0.232,1476,0.048,0.215,83,0.722
"Republicans","race_Asian",0.02,0.139,1476,0.024,0.154,83,0.798
"Republicans","race_Native",0.014,0.116,1476,0.012,0.11,83,0.904
"Republicans","race_Other",0.019,0.136,1476,0.048,0.215,83,0.225
"Republicans","liberal_index",0.704,0.149,1454,0.699,0.141,83,0.756
"Expect In-Party Win","age_2012_election",47.544,15.773,2678,14.18,2.428,191,0
"Expect In-Party Win","sex",0.443,0.497,2670,0.44,0.498,191,0.93
"Expect In-Party Win","education",4.572,2.037,2638,3.62,1.76,187,0
"Expect In-Party Win","income",12.08,6.635,2610,10.194,7.371,191,0.001
"Expect In-Party Win","race_Black",0.097,0.296,2665,0.115,0.32,191,0.452
"Expect In-Party Win","race_Hispanic",0.073,0.26,2665,0.162,0.37,191,0.001
"Expect In-Party Win","race_Asian",0.034,0.181,2665,0.052,0.223,191,0.262
"Expect In-Party Win","race_Native",0.014,0.117,2665,0.005,0.072,191,0.131
"Expect In-Party Win","race_Other",0.023,0.151,2665,0.052,0.223,191,0.078
"Expect In-Party Win","liberal_index",0.779,0.172,2638,0.764,0.179,189,0.291
"Expect In-Party Loss","age_2012_election",42.973,15.87,371,14.582,2.166,45,0
"Expect In-Party Loss","sex",0.417,0.494,369,0.356,0.484,45,0.423
"Expect In-Party Loss","education",4.805,2.063,365,3.8,1.766,45,0.001
"Expect In-Party Loss","income",12.648,6.968,358,9.356,7.577,45,0.008
"Expect In-Party Loss","race_Black",0.084,0.278,367,0.111,0.318,45,0.593
"Expect In-Party Loss","race_Hispanic",0.095,0.294,367,0.267,0.447,45,0.016
"Expect In-Party Loss","race_Asian",0.035,0.185,367,0.089,0.288,45,0.23
"Expect In-Party Loss","race_Native",0.019,0.137,367,0,0,45,0.008
"Expect In-Party Loss","race_Other",0.033,0.178,367,0.089,0.288,45,0.207
"Expect In-Party Loss","liberal_index",0.769,0.182,369,0.705,0.225,45,0.074
