panel_data,pre_or_post,age,party,education_summary,education,sex,income,race,lib_or_con,duty_or_choice,voted2012,voted2016,voted_for_2012,voted_for_2016,expectations_2020,feeling_dems,feeling_reps,free_press,checks_and_balances,rule_of_law,agree_on_facts,unitary_executive,journalist_access,media_undermined_concern,media_trust,govt_trust,govt_capture,govt_corruption,foreign_help,govt_principled,urban_unrest,party_summary,expect_inparty_win,day_of_birth,date_cutoff,date_2012_election,days_from_cutoff,age_2012_election,treatment,liberal_index,race_Black,race_Hispanic,race_Asian,race_Native,race_Other,race_NA
4,3,33,1,2,2,1,22,Black,5,7,1,NA,1,NA,3,100,40,-0.5605616145111023,-1.5372101072962265,-2.0975306846718307,-1.1200103352027624,-0.7880848321077437,-0.5505490308078672,-0.34624101076783853,3,1,2,1,3,1,NA,Democrat,0,20,1994-11-06,2012-11-06,-2847,25.796030116358658,0,0.5000000000000001,1,0,0,0,0,0
3,1,67,NA,3,3,0,14,Black,4,7,1,NA,1,1,1,70,15,-0.5605616145111023,0.7207302104367574,0.573083703561271,-0.07731522541165571,0.8491507732232628,0.9891219875531179,0.3880076081374755,2,2,1,2,5,1,7,NA,NA,1,1994-11-06,2012-11-06,-15072,59.266255989048595,0,0.870762298899273,1,0,0,0,0,0
3,3,36,6,4,6,0,15,White,7,1,1,NA,2,2,3,0,100,-0.5605616145111023,0.7207302104367574,0.573083703561271,-1.1200103352027624,-0.7880848321077437,-0.5505490308078672,-1.0804896296731525,2,3,2,3,4,2,1,Republican,1,18,1994-11-06,2012-11-06,-3824,28.470910335386723,0,0.7064348456416206,0,0,0,0,0,0
4,3,80,7,3,3,0,10,White,5,1,1,NA,2,2,3,40,60,-2.0689819590137044,-0.4082399484297345,0.573083703561271,0.965379884379451,-0.7880848321077437,-0.5505490308078672,-1.8147382485784667,1,3,1,4,3,1,2,Republican,1,2,1994-11-06,2012-11-06,-19972,72.68172484599589,0,0.612724094513434,0,0,0,0,0,0
4,3,21,NA,3,3,0,16,White,1,2,0,NA,NA,NA,3,15,0,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,1.1222562270427896,2,2,1,2,5,1,7,NA,NA,1,1994-11-06,2012-11-06,1548,13.763175906913073,1,1,0,0,0,0,0,0
4,3,29,NA,4,6,1,15,White,3,5,1,NA,1,NA,1,60,30,0.1936485577401988,-1.5372101072962265,-0.7622234905552797,-1.1200103352027624,0.3034055714462606,0.4758983147661229,-1.0804896296731525,1,2,1,3,4,2,7,NA,NA,24,1994-11-06,2012-11-06,-1323,21.623545516769337,0,0.6189878381813257,0,0,0,0,0,0
3,3,80,6,2,2,0,4,White,4,7,0,1,NA,1,3,50,50,0.1936485577401988,-0.4082399484297345,0.573083703561271,-0.07731522541165571,0.8491507732232628,0.9891219875531179,-1.0804896296731525,3,2,1,3,3,1,3,Republican,1,18,1994-11-06,2012-11-06,-19803,72.21902806297057,0,0.7947746905047748,0,0,0,0,0,0
3,3,26,NA,4,6,1,11,Asian,2,1,1,1,1,1,1,85,5,0.9478587299914999,0.7207302104367574,0.573083703561271,0.965379884379451,0.8491507732232628,0.9891219875531179,-0.34624101076783853,3,2,1,4,5,1,7,NA,NA,1,1994-11-06,2012-11-06,-36,18.099931553730322,0,0.9509825497899614,0,0,1,0,0,0
3,3,25,4,2,2,1,8,Black,99,NA,0,NA,NA,1,NA,70,30,0.9478587299914999,0.7207302104367574,0.573083703561271,-1.1200103352027624,-0.7880848321077437,0.9891219875531179,0.3880076081374755,1,NA,1,NA,1,2,7,Independent,NA,12,1994-11-06,2012-11-06,98,17.73305954825462,1,0.8729025456291172,1,0,0,0,0,0
3,3,52,4,4,6,1,20,White,4,7,0,NA,NA,NA,3,50,50,-0.5605616145111023,-1.5372101072962265,0.573083703561271,0.965379884379451,0.3034055714462606,-2.090220049168852,-0.34624101076783853,1,2,1,2,5,2,2,Independent,NA,24,1994-11-06,2012-11-06,-9692,44.53661875427789,0,0.6498238900450962,0,0,0,0,0,0
