"","Sample","Model","Estimate Type","Estimate","SE","P-Value","Bandwidth Type","Bandwidth (h)","N","Outcome"
"1","Full Sample","Without Controls","Conventional",0,0.04,0.92,"MSE-optimal",1046.47,421,"Liberal Attitudes"
"2","Full Sample","Without Controls","Bias-Corrected",-0.01,0.04,0.87,"MSE-optimal",1046.47,421,"Liberal Attitudes"
"3","Full Sample","Without Controls","Bias-Corrected (Robust SE)",-0.01,0.05,0.89,"MSE-optimal",1046.47,421,"Liberal Attitudes"
"4","Full Sample","With Controls","Conventional",0.02,0.03,0.49,"MSE-optimal",1394.89,532,"Liberal Attitudes"
"5","Full Sample","With Controls","Bias-Corrected",0.02,0.03,0.48,"MSE-optimal",1394.89,532,"Liberal Attitudes"
"6","Full Sample","With Controls","Bias-Corrected (Robust SE)",0.02,0.04,0.56,"MSE-optimal",1394.89,532,"Liberal Attitudes"
"7","Independents","Without Controls","Conventional",-0.03,0.07,0.64,"MSE-optimal",1246.97,129,"Liberal Attitudes"
"8","Independents","Without Controls","Bias-Corrected",-0.04,0.07,0.61,"MSE-optimal",1246.97,129,"Liberal Attitudes"
"9","Independents","Without Controls","Bias-Corrected (Robust SE)",-0.04,0.09,0.69,"MSE-optimal",1246.97,129,"Liberal Attitudes"
"10","Independents","With Controls","Conventional",-0.01,0.06,0.81,"MSE-optimal",1356.86,135,"Liberal Attitudes"
"11","Independents","With Controls","Bias-Corrected",-0.01,0.06,0.81,"MSE-optimal",1356.86,135,"Liberal Attitudes"
"12","Independents","With Controls","Bias-Corrected (Robust SE)",-0.01,0.08,0.85,"MSE-optimal",1356.86,135,"Liberal Attitudes"
"13","Partisans","Without Controls","Conventional",0,0.07,0.97,"MSE-optimal",760.98,169,"Liberal Attitudes"
"14","Partisans","Without Controls","Bias-Corrected",-0.03,0.07,0.68,"MSE-optimal",760.98,169,"Liberal Attitudes"
"15","Partisans","Without Controls","Bias-Corrected (Robust SE)",-0.03,0.09,0.74,"MSE-optimal",760.98,169,"Liberal Attitudes"
"16","Partisans","With Controls","Conventional",0.09,0.05,0.1,"MSE-optimal",1047.19,223,"Liberal Attitudes"
"17","Partisans","With Controls","Bias-Corrected",0.1,0.05,0.08,"MSE-optimal",1047.19,223,"Liberal Attitudes"
"18","Partisans","With Controls","Bias-Corrected (Robust SE)",0.1,0.07,0.16,"MSE-optimal",1047.19,223,"Liberal Attitudes"
"19","Democrats","Without Controls","Conventional",0.09,0.07,0.22,"MSE-optimal",1416.32,192,"Liberal Attitudes"
"20","Democrats","Without Controls","Bias-Corrected",0.09,0.07,0.2,"MSE-optimal",1416.32,192,"Liberal Attitudes"
"21","Democrats","Without Controls","Bias-Corrected (Robust SE)",0.09,0.09,0.31,"MSE-optimal",1416.32,192,"Liberal Attitudes"
"22","Democrats","With Controls","Conventional",0.1,0.07,0.15,"MSE-optimal",1277.04,176,"Liberal Attitudes"
"23","Democrats","With Controls","Bias-Corrected",0.13,0.07,0.06,"MSE-optimal",1277.04,176,"Liberal Attitudes"
"24","Democrats","With Controls","Bias-Corrected (Robust SE)",0.13,0.08,0.13,"MSE-optimal",1277.04,176,"Liberal Attitudes"
"25","Republicans","Without Controls","Conventional",-0.03,0.11,0.82,"MSE-optimal",737.98,61,"Liberal Attitudes"
"26","Republicans","Without Controls","Bias-Corrected",-0.07,0.11,0.51,"MSE-optimal",737.98,61,"Liberal Attitudes"
"27","Republicans","Without Controls","Bias-Corrected (Robust SE)",-0.07,0.13,0.58,"MSE-optimal",737.98,61,"Liberal Attitudes"
"28","Republicans","With Controls","Conventional",0.11,0.07,0.12,"MSE-optimal",835.87,70,"Liberal Attitudes"
"29","Republicans","With Controls","Bias-Corrected",0.08,0.07,0.27,"MSE-optimal",835.87,70,"Liberal Attitudes"
"30","Republicans","With Controls","Bias-Corrected (Robust SE)",0.08,0.09,0.37,"MSE-optimal",835.87,70,"Liberal Attitudes"
"31","Expect In-Party Win","Without Controls","Conventional",0.1,0.06,0.08,"MSE-optimal",974.97,171,"Liberal Attitudes"
"32","Expect In-Party Win","Without Controls","Bias-Corrected",0.1,0.06,0.11,"MSE-optimal",974.97,171,"Liberal Attitudes"
"33","Expect In-Party Win","Without Controls","Bias-Corrected (Robust SE)",0.1,0.07,0.19,"MSE-optimal",974.97,171,"Liberal Attitudes"
"34","Expect In-Party Win","With Controls","Conventional",0.13,0.05,0.01,"MSE-optimal",1080.88,185,"Liberal Attitudes"
"35","Expect In-Party Win","With Controls","Bias-Corrected",0.15,0.05,0.01,"MSE-optimal",1080.88,185,"Liberal Attitudes"
"36","Expect In-Party Win","With Controls","Bias-Corrected (Robust SE)",0.15,0.06,0.02,"MSE-optimal",1080.88,185,"Liberal Attitudes"
"37","Expect In-Party Loss","Without Controls","Conventional",-0.06,0.14,0.69,"MSE-optimal",1890.89,78,"Liberal Attitudes"
"38","Expect In-Party Loss","Without Controls","Bias-Corrected",-0.15,0.14,0.28,"MSE-optimal",1890.89,78,"Liberal Attitudes"
"39","Expect In-Party Loss","Without Controls","Bias-Corrected (Robust SE)",-0.15,0.19,0.41,"MSE-optimal",1890.89,78,"Liberal Attitudes"
"40","Expect In-Party Loss","With Controls","Conventional",0.03,0.1,0.74,"MSE-optimal",2437.94,91,"Liberal Attitudes"
"41","Expect In-Party Loss","With Controls","Bias-Corrected",0.03,0.1,0.75,"MSE-optimal",2437.94,91,"Liberal Attitudes"
"42","Expect In-Party Loss","With Controls","Bias-Corrected (Robust SE)",0.03,0.14,0.82,"MSE-optimal",2437.94,91,"Liberal Attitudes"
